Name,Category,Description,Address,Phone,Website,Latitude,Longitude,Neighborhood,Services,Tags,PriceLevel,Hours,Rating,ReviewCount,PhotoURL
Pleasure Point Yoga,Yoga Studio,Ocean-view yoga studio specializing in vinyasa flow,Ocean-view yoga studio specializing in vinyasa flow,(831) 479-9642,https://www.pleasurepointsanctuary.com/,CA,95062,(831) 475-7530,,Private sessions available,,Monday: 7:00 AM – 8:30 PM; Tuesday: 7:00 AM – 8:30 PM; Wednesday: 7:00 AM – 8:30 PM; Thursday: 7:00 AM – 8:30 PM; Friday: 7:00 AM – 8:30 PM; Saturday: 8:00 – 11:30 AM; Sunday: 8:00 – 11:30 AM,4.7,15,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2cAX4hvR8wQzCpj2bEFgadepmHjhZNchkEgH7IGe4g4xaoV7yRp_x6PM--pcqqAHzu2eKV58jRdLlJBIhCk1WGjUUIS0nwnA6W0y99Q_P2MJ_STZ3o3UEGoDtQixP7doNAGyGYWB2tc9O2W4Tad9qHiJYP0MxBEDQuYSgy0xVZCx1xPLHbytBxhGMOIBvXtL-nIVC3b4oQNhhpRgompczggKu9tWVoEXxCUnCOXz7xQIA7MJeiMQRv7OoDGEMrYcq3CnUG_URB0npJ5dBqYKdy4xCRXKgfMQl1D8xSha5YHKw&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI
Village Yoga Santa Cruz,Yoga Studio,Community yoga studio with various classes,and empowerment.,(831) 400-6362,http://www.villageyogasantacruz.com/,CA 95060,Santa Cruz,CA,(831) 425-5678,Walk-ins welcome,-122.0308,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 7:30 PM; Saturday: 8:00 AM – 5:30 PM; Sunday: 8:00 AM – 5:30 PM,4.8,27,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2dfIJBkH3h5nxLNine8qQu51nalBiSGL2BdwqZ3Gg1leC8LIV6xLEEqVrrPbNTTUg1wr3xX0xlCkh8pz1SCCxugtgrVqO_0tVScrvQr1X6tiMsqt4Me2lUb5C1OIxyHbT3XaHX7k5aN6pkISbl7YS6IqFsfhJVMcqr6uYBsdwGGDOmOPbmohAW13nDq1XDpZrk93MhVPkffRWGVfWa7C5k16HBhwfRFYm_gHadsLsMCqu4GP_X6XXei9DZ812VOd9PEF8uNcivsgJAC9_oDsZn3JMxczPH-Xkg96KMtyh5y5A&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI
Santa Cruz Yoga,Yoga Studio,Premier yoga studio offering classes for all levels with skilled instructors.,,(831) 227-2215,http://www.santacruzyoga.net/,,,,-122.0308,50+,Private Sessions,Monday: 7:00 AM – 8:00 PM; Tuesday: 7:00 AM – 8:00 PM; Wednesday: 7:00 AM – 8:00 PM; Thursday: 7:00 AM – 8:00 PM; Friday: 7:00 AM – 8:00 PM; Saturday: 7:00 AM – 8:00 PM; Sunday: 7:00 AM – 8:00 PM,4.4,32,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fyV-v3HUywQEXSlp_h1sugQdzDjRTYc1yjnzqSnITTkV_bAb6McRINnWE3mM3ECr5Hvu7lwNxqz_kKr6wocq_MIjpFG7q5RwBIl6jSomeYGHiBxkSYlix6iwlCx1iPYBa_LjI7BkEO86fhJER4bzH-5jkGm2nX3X44-7V_-w-4W3lLWPE5BbBDOBFwlb-DV5ymgW-dnKDmeLTsXHz193OdSdUYL2r_DdcgMr9It6t4-VJlxi-HGUZkhBlToXfFcjnWGQIoHf0OeLv0bUkzRmqKXq_MpAIi1WY6VBERmw8hAQ&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI
Live Oak Yoga & Wellness,Yoga Studio,Welcoming yoga studio offering classes for all levels,Welcoming yoga studio offering classes for all levels,(504) 527-8800,http://www.liveoakyoganola.com/,CA,95062,(831) 475-5678,,All Ages,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,4.9,81,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2cpM9SslmDJIiyM2ILp27jR955HmuDwSzezV3YuQjd_vbK9_LJGHXOY8mY1w-ntgjjPPP5KXpQu0LWhMPP_gtYIBcFu7Nj1myLCFx1VkaaV2ai2qASwLG6R4UcivR1Jy8rYn1_BVwL-mXnJ1Ym4GDZ34WAmPR7iXrImbn36vH1azFCG8B5PFTjG3HV8b-bQwl1XrDzEWXuSFz27lllpxUz8mCfxHGOhiUBZFH8bLDEFz38zAFx-fcxpkI6KweU5cS26-gKAQa-UFe1zYJIk-YiM6mOzvlpULnvUJcfMKZbbfw&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI
Club Pilates Santa Cruz,Pilates Studio,Small group and private training classes for reformer Pilates,focusing on muscle gain and overall fitness. Located in beautiful Downtown Santa Cruz,(831) 420-8001,http://clubpilates.com/santacruz/?utm_source=google.com&utm_medium=referral&utm_campaign=yext,(831) 425-1234,https://www.clubpilates.com,,,Private sessions available,Mat Pilates,Monday: 7:00 AM – 1:00 PM,Free WiFi,,4.9
Aptos Pilates Studio,Pilates Studio,Classical and contemporary pilates instruction with certified instructors and small class sizes.,,(831) 435-9064,http://www.clubpilates.com/location/aptos/?utm_source=google.com&utm_medium=referral&utm_campaign=yext,,,,-121.9014,50+,Small Groups,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: 9:00 AM – 5:00 PM,4.8,30,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2eqhZar-M6fvBzfFlrwZ3WkZo1L4GoZgUHXbsBz2C0OVTek86i0uUWAFRXQS-YI2UwP-alWZEktbKwbBhE_aBHcYCPkX2G13Vx6zeCMNRbrOYt8ZMpHV-eZeCpUapQXYTNOSoapU-FFzINNsiPrryz3BAXv6pdHHfCLztBn3K4F9MGyCQBklCTzcILauCaAbdqFHpymDSdap49q3qulxNOeT_EKVdHuAh5gHkVfS9T4mLN5FSoVRBQbh2DVPTeQxrwljj2xST4uctWOcrrABwnZwnEHZyzJtwOHWIkwWtprDuIGcAHY3srtZDrlIA8hMMVcGRDM-x7ljsTFuzBsnYTRX4stJ_DxTZNcqER-yN7ypvL75wFqvH-A0nJgP6pyhBIVkJFtFIqgOqq-457Qa25YxD0ARXxaxztCSRwCBl6iPvzuLfH9TM1EJE40yA&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI
Capitola Pilates & Barre,Pilates Studio,Pilates and barre classes combining strength,Pilates and barre classes combining strength,(831) 475-8994,http://www.monarchpilates.com/,CA,95010,(831) 475-0987,,Private sessions available,,Monday: 8:30 AM – 7:30 PM; Tuesday: 6:30 AM – 6:30 PM; Wednesday: 6:30 AM – 6:30 PM; Thursday: 6:30 AM – 5:30 PM; Friday: 7:30 AM – 12:30 PM; Saturday: 8:30 AM – 12:30 PM; Sunday: 8:30 AM – 12:30 PM,5,49,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2edOKN74PL0JZ7kePEstPT43hXwJxXz3g1stA9t7Ygn7r97oloYdkXhAWc1qDWApa8JlEs4G40j6kiZW5e8bfhCS2enLBnBysu-IhEBjK1vgNcJ_l4K5XSn5sqt-ztxgZcEgVM-GgV3T9fEOaZYy0Oqm6s8XEOXWo9Q4AAGbiKEl0J9gA5kiRNYygxRr0Tbeh2Kv3RBaSt5b7zCYUfbf2jyHI8iV7E7JrR399wtvBfwl_2mxk8_gBoeAionQajFOFy52Lbx9DTQy_VffHFdH0UPgdhq4cuolaipgUw0GL2dSg&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI
Westside Fitness & CrossFit,Fitness Center,CrossFit box and fitness center with personal training,CrossFit box and fitness center with personal training,(800) 726-9348,http://www.westfitnesssc.com/,CA,95060,(831) 425-4567,,Private sessions available,,Monday: 6:00 AM – 7:00 PM; Tuesday: 6:00 AM – 7:00 PM; Wednesday: 6:00 AM – 7:00 PM; Thursday: 6:00 AM – 7:00 PM; Friday: 6:00 AM – 7:00 PM; Saturday: 8:00 AM – 1:00 PM; Sunday: 9:00 – 11:00 AM,4.9,34,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2c0sM5OMeyy3NBBpuwqnJG0HefV2WWAVIFqflae64zueSi0PvbfCIkG5wpeWzIcqlY5hIWv1MEDeVu_YX3aGdfGkE68PXm4N-DiPG2jEB29lalngM44YH-yP7n-uDpzvMGkbgYN_Hai_t_aKFAqJTliVExoRX_y-NTcwPwkDb2Quj8maVNFy3gt3KQl28WFtXzJrZz2RAnAMPO28Dze7bVuOaeG2Szsjd22-h7LWsK0mLy2n_FCuR6zIWhPMBALnBV9INbbIpkZnJGxzgSrtHHGCPdgLpRBS-zknCuT5Yc6aR0JU7UZLO6DkLCUm-EJh5BN9QUjx6J6DnxJNnTmV3BtzDdsOJidRezVAPn8C5KAWqCO_nFDyDVpziBmT7ptnObYoBr9Kcg8N8xC_GVgbgC_1a-hPbBfS0CtvcqVp8cyNA&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI
Santa Cruz Fitness,Fitness Center,Full-service fitness center with cardio,and personal training.,(831) 425-9500,https://santacruzcore.com/,CA 95066,Scotts Valley,CA,(831) 438-1234,Walk-ins welcome,-122.0147,Monday: 8:15 AM – 9:00 PM; Tuesday: 8:15 AM – 9:00 PM; Wednesday: 8:15 AM – 9:00 PM; Thursday: 8:15 AM – 9:00 PM; Friday: 8:15 AM – 9:00 PM; Saturday: 8:30 AM – 5:00 PM; Sunday: 8:30 AM – 5:00 PM,4.9,101,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2eCDiAN0EeUrrUVgT_C5MfBjUAjqgy_z4ii_iFme3cB-y0NoyenkhpX-6Om_IjKr64xN5fYWW2v2p5TNK7BUFDnfuZXXWl88p9I82By-SgiLDPFnYbfSpzpQLH94oEYmHU3el3ZQy_gt2dzGXyonRM1-Iv5j8XUsNY3sy0iBvaaWV_adW0ee8oU3dqnUlvOA187F9E9VIVVfx_nA_jccewSBUki9VqRo6iNa-Q6D6niQnPTww_l9-1mqF-8RY3TSmyUu0BHmUBJCQogoOYGuxQGLBfCPQRMBLXgn16NiOEZMQ&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI
Aptos Fitness Club,Fitness Center,Full-service fitness club with cardio equipment,and personal training.,(831) 475-5979,https://www.toadalfitness.com/cabrillo-fitness,CA 95003,Aptos,CA,(831) 688-4567,Licensed practitioners,-121.9014,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 8:00 AM – 6:00 PM; Sunday: 8:00 AM – 6:00 PM,4.6,145,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2cD4_busviBnRJlF-Ft_m1QvMhvsf0I5bL7lhLih7-4lm0KxvWa4qiQwOB5G9cdSreqWs3Uu-TxWI5vNJ1-cjYgTm85GcRQ2y75Pn9ndqTU3Sx86LkP6ib4E7vJEDLAZ1ahJVff2f1uLEfeif9TUg6dFy92obgXg5dFat2pLaHQrM9mDtL86ZGmR7GXEz8kDc3aFqxCGEnTN-8V4449Vg-pCENuhVkdTHJANWGu2ESIVTcp-yi0gaxGxpqH43CtfyLS6LYJEF4hf18LJ4SNtTgFNSO30fCmty7zmn7mo6dnqYYFV035rADNWh2crhxHxBCNYSjD9BGalwRgA8mdQwEaabTSulQNlSYoUy9pCpyfxyithyJ58bT8IvrlVZ28rkMHokAn5sOLHZKyDWUhlidQpyDdsBgLuRA1WFh_LaTVjBbN&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI
