Name,Category,Address,Phone,Website,Description,Hours,Amenities,PriceLevel,Neighborhood,PhotoURL,Latitude,Longitude
"Pleasure Point Yoga","Yoga Studio","258 41st Avenue, Santa Cruz, CA 95062","(831) 475-7530","https://www.pleasurepointyoga.com","Ocean-view yoga studio specializing in vinyasa flow, restorative yoga, and meditation","Daily: 6:00 AM - 9:00 PM","Ocean Views; Parking; Equipment; Retail Shop",2,"Pleasure Point","","",""
"Club Pilates Santa Cruz","Pilates Studio","123 Pacific Avenue, Santa Cruz, CA 95060","(831) 425-1234","https://www.clubpilates.com","Small group and private training classes for reformer Pilates, focusing on muscle gain and overall fitness","Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 7:00 PM","Equipment; Private Sessions; Group Classes; Parking",3,"Downtown Santa Cruz","","",""
"Village Yoga Santa Cruz","Yoga Studio","456 Water Street, Santa Cruz, CA 95060","(831) 425-5678","https://www.villageyogasantacruz.com","Community yoga studio with various classes, emphasizing peace, service, and empowerment","Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 8:00 PM","Parking; Equipment; Community Focus; Workshops",2,"Santa Cruz","","",""
"DESUAR Spa","Spa & Wellness","789 Mission Street, Santa Cruz, CA 95060","(831) 425-9012","https://www.desuars.com","Luxury spa offering CASA GLOWSSAGE lymphatic massage and comprehensive wellness treatments","Daily: 9:00 AM - 8:00 PM","Parking; Luxury Treatments; Ocean Views; Retail Shop",4,"Santa Cruz","","",""
"Kanda Thai Massage","Massage Therapy","321 Soquel Avenue, Santa Cruz, CA 95062","(831) 475-3456","https://www.kandathaimassage.com","Authentic Thai massage specializing in deep tissue and therapeutic bodywork","Mon-Fri: 9:00 AM - 8:00 PM; Sat-Sun: 10:00 AM - 7:00 PM","Parking; Traditional Thai; Insurance Accepted; Gift Certificates",2,"Santa Cruz","","",""
"The Spa at Chaminade","Spa & Wellness","1 Chaminade Lane, Santa Cruz, CA 95065","(831) 475-5600","https://www.chaminade.com","Luxurious mountain spa offering massages, facials, and body treatments with scenic views","Daily: 9:00 AM - 9:00 PM","Mountain Views; Luxury; Parking; Restaurant; Resort Setting",4,"Santa Cruz","","",""
"Santa Cruz Yoga","Yoga Studio","654 Ocean Street, Santa Cruz, CA 95060","(831) 425-7890","https://www.santacruzyoga.com","Premier yoga studio offering classes for all levels with skilled instructors","Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 7:00 PM","Parking; All Levels; Equipment; Retail Shop",2,"Santa Cruz","","",""
"Hot Elevation Studios","Fitness Studio","987 Capitola Road, Capitola, CA 95010","(831) 475-2345","https://www.hotelevationstudios.com","Hot Pilates, yoga sculpt, cycle, barre, TRX, and HIIT classes in heated rooms","Mon-Fri: 5:30 AM - 8:30 PM; Sat-Sun: 7:00 AM - 6:00 PM","Heated Classes; Equipment; Showers; Parking",3,"Capitola","","",""
"Santa Cruz Fitness","Fitness Center","147 Mount Hermon Road, Scotts Valley, CA 95066","(831) 438-1234","https://www.santacruzfitness.com","Full-service fitness center with cardio, weights, group classes, and personal training","Mon-Fri: 5:00 AM - 10:00 PM; Sat-Sun: 6:00 AM - 8:00 PM","Parking; Showers; Equipment; Personal Training; Group Classes",2,"Scotts Valley","","",""
"Westside Fitness & CrossFit","Fitness Center","258 Mission Street, Santa Cruz, CA 95060","(831) 425-4567","https://www.westsidefitness.com","CrossFit box and fitness center with personal training, group classes, and open gym","Mon-Fri: 5:00 AM - 10:00 PM; Sat-Sun: 7:00 AM - 6:00 PM","Parking; Showers; CrossFit; Personal Training; Equipment",2,"Westside Santa Cruz","","",""
